Ritual,Society,Religion,Wedding,OtherUnion,DissolveUnion,WorldyPursuit,Apotropaeic,OtherWorldyPursuit,Initiation,Installation,Divination,Liturgical,Ogather,NewBorn,Funerary,Commerative,Protection,HouseDedication,OtherPurpose,Short_duration,Medium_duration,Long_duration,Extended_duration,MixedGender,Solitary,ImmediateKin,ExtendedKin,Group15abs,Group50percent,Group5090percent,Group90100percent,Outsiders,AnnualPATIENT,AnnualPARTICIPANT,Dancing,Singing,Percussion,OtherInstruments,NonRhythmic,IntenseMusicDance,SorrowMusicDance,LargescaleMusicDance,Marching,Explosions,Bowing,OtherMovement,Haircut,Washing,Rubbing,Sprinkling,Fumigation,InterdictionHands,Spitting,OtherPurify,Hallucinogen,Sedatives,Alcohol,ExecutivePossession,PerformanceTrance,Stimulants,Smoking,OtherMental,BurningParticipants,WoundingSignificant,WoundingSuperficial,Beating,Piercing,Scarification,Tattooing,LacerationSensitive,Circumcision,FoulOlfaction,Vomiting,SwallowingObjects,SuckingofPatient,OtherDiscomfort,OtherNegative,Fasting,AthleticFeats,SleepDeprivation,Dehydration,Immobility,OtherEndurance,Isolation,Fear,Disgust,Humilation,DramaticActs,HolyObjects,HolySite,RitualConstruction,LargeCrowd,MockConflict,Costume,FireEmbers,SacrificeAnimal,SacrificeHuman,OtherOffering,WaterOffering,Minatures,PathogenicPossession,Speechmaking,TextRecitation,Naming,Blood,Weapons,Fucking,StoryTelling,BuriaOfferings,BurningOfferings,Confession,OtherSpectacle,Games,CommunalEating,Joyful,TabooSmoke,TabooAlcohol,TabooFuck,TabooTalking,PeakPrimaryEuphoria,AvPrimaryEuphoria
1,Blackfoot,Blackfoot religion,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Blackfoot,Blackfoot religion,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Blackfoot,Blackfoot religion,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
4,Blackfoot,Blackfoot religion,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,Blackfoot,Blackfoot religion,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
6,Blackfoot,Blackfoot religion,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0, ,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7,Blackfoot,Blackfoot religion,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
8,Blackfoot,Blackfoot religion,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Blackfoot,Blackfoot religion,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,Somali,Islam,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
