ritual_number,paragraph
1,"Ritual occurs in preparation for the Sun Dance Festival. It is necessary for a woman to qualify for the office of medicine woman for the Sun Dance otherwise the ceremony cannot occur. The woman generally qualifies by a vow. Of times, when a member of the family is dangerously ill, one of the women goes out of the tipi and raising her eyes to the sun calls upon it that health may be restored to the ailing one. In such an appeal she offers to make gifts to the sun, usually specifying that she will sacrifice a piece of cloth, a dress, a robe, an ax, etc., which are after a time, provided the sick one improves, hung in trees or deposited upon a hill. Such appeals are still made with great frequency. It is believed that unless the woman has been industrious, truthful, and above all, true to her marriage vows, her appeal will not be answered. Sometimes, when the woman addresses the sun she promises to be the medicine woman at the next sun dance. She herself may be ill and promise such a sacrifice in case she receives help. Again, she may, out of gratitude for the satisfactory way in which her prayers have been answered, announce her intention to take this step. In such a case, a formal announcement is made to the sun. In company with a man, usually a medicine man experienced in the ceremonies, she steps out into the camp, where they face the sun whom the man addresses, explaining that as this woman asked for help in time of need and that inasmuch as it was granted, she in turn promises to be the medicine woman at the first opportunity. Some such formal announcement is made in every case where the prayers have been answered. By this formality, the vow receives public registry."
2,"Ceremony of the tongues. Woman asks for help from gods and promises to become a medicine woman at first opportunity, if her prayers are answered she becomes obligated to organize this ritual at the beginning of the sun dance. She must perform the medicine woman’s functions, it is literally an obligation to purchase a natoas bundle, or if already the owner of a bundle, to perform its ritual. Other women who have received help from god and vowed to participate are involved in skinning tongues"
3,"The Hundred-Willow Sweat House. The procession from the medicine woman’s tipi consists of the father and another man experienced in ceremonial affairs, the husband, the mother and the medicine woman. They approach slowly and by stages, passing around the south side of the sweathouse to the north and then to the east or entrance. All keep their eyes on the ground. The husband walks with a heavy staff; the medicine woman carries the natoas bundle with a smudge stick. The men enter the sweathouse, while the two women go to the west side and sit down facing the east. The medicine woman is on the north side with the bundle before her. After the men have entered, the fire is lighted and some of the attendants (builders of the sweathouse) lift the buffalo skull to the top of the sweathouse where it faces the east. Prayers and the usual sweathouse procedure now follow while the stones and a pail of water are passed in by an attendant. The covers are then drawn down and the vapor bath taken. After the ceremony the procession returns to the medicine woman’s tipi. The cover is removed from the sweathouse and the buffalo skull placed on top where it remains."
4,
5,"The cutting of the sun pole is attended with some ceremony. Some informants claim that formerly this was to be carried out by the medicine woman’s band; others that one of the men’s societies was called upon for this service. In any event, they go out as a war party and locate a suitable tree. A man with a war record, preferably one having struck an enemy with an ax, comes forward, takes an ax, paints the blade as he recounts some event in which he killed an enemy, and then strikes the tree. Four such deeds must be told before the tree can be felled. Then one or two men cut the tree as the others stand around. As the tree begins to fall all give the war cry and shoot at its top, then rush up, and tearing off branches, wave them in the air as if they were trophies from an enemy. Indeed, the whole proceeding, from start to finish, is a mimic attack on an enemy. The pole is cut to approximate form and taken to the site of the dancing lodge. One end is placed on a travois (in recent times on a wagon), while the riders assist with their ropes, their horses massed around the travois horse. The hole for the sun pole is dug without ceremony by relatives of the medicine woman."
6,"Raising the Sun Pole. About time for the sun to set, a procession of pole raisers starts from each of the four quarters of the camp circle. Tipi poles are tied near the small ends in pairs, each pair carried by two men. The four parties advance in unison by four stages and at each pause sing a special song. In the last move, they rush upon the sun pole and raise it in place. In the meantime, the father and son go and stand on the center pole while their wives stand to the west. The men make wing movements with their arms toward the east. According to some informants, the medicine woman may make hooking motions at the pole, to symbolize the mythical Elk-woman. Four men are called upon to assist the father and son. As the latter stand upon the pole, they encircle and screen them with their blankets and join the father in singing. The songs call for good luck in erecting the dancing lodge. The son does not sing. Four songs are sung. At the end of each the father blows a whistle while someone shakes the pole. The last time they jump off the pole. The son drops his blanket (some say the father also, some add moccasins) painted black as a sun offering. Another blanket is handed him at once. As soon as the men leave the pole the advancing raisers rush in, raise the center pole, put on the rafters, tie them with the rawhide strands and place brush all around to form the wind-break. This is accompanied by much shouting, but without shooting. While the sun pole is being raised the daughter and mother stand watching it. They pray and make movements with the corners of their robes as though steering the rising pole. As it sways from side to side, they gesture as if righting it. As soon as the pole is set, the natoas, robe, and moccasins are taken off the daughter by the mother. She may call on someone to do this and pay a gun or a horse for the service. The mother and other attendants then lead the daughter to her tipi where she resumes her ordinary routine. The father and son go to a sweathouse where all the paint is washed off. This is not the hundred-willow sweathouse and is the fifth sweathouse, if it were counted. The two men go in and some sagegrass being handed to the father, he takes off the feathers tied to the son’s hair, the hair necklace, and whistle. After the first opening of the sweathouse he takes the sagegrass and wipes off the black paint on the son and hands out through the west side of the sweathouse the necklace, whistle, and feathers which are to be taken home. At the same time, the two women are in the ceremonial lodge, the mother caring for the daughter."
7,"Weather dance, dancers aim to control the weather. Early on the fifth day, a booth is built inside the dancing lodge opposite the entrance. A slight excavation about six feet square is made over which is erected a shelter of green cottonwood boughs, open on the side facing the sun pole. Before the middle of the day, a procession of one or more men supposed to have power over the weather, attended by drummers, proceeds by stages from the medicine woman’s tipi to this booth. They pause four times and dance, facing alternately the east and the west. They hold whistles of bone in their mouths, which are sounded in unison with the dancing. The procession is of two transverse lines, the dancers, in front, the drummers and singers behind. A great deal of dancing is done between the entrance to the dancing lodge and the booth. At intervals during the day they stand before the booth and dance to the east and west: the drummers are now stationed on the south side of the booth where women also assemble for the singing. The dancing is chiefly an up and down movement produced by flexing the knees, the eyes are directed toward the sun and wing-like movements of the hands are made in the same direction. The dancers wear breechcloth and moccasins and usually a robe around the waist. Their faces and bodies are painted according to their own medicines and medicine objects worn on their heads. During the days they are in the booth, individuals come to them “to be prayed for.” They come up and stand before the booth. The dancer takes black paint and paints their faces. Then he prays to the sun for their welfare. During this part of the ceremony the recipient faces the sun. Again, the medicine-pipes and other ritualistic objects are brought up for the dancer to present to the sun. The pipes he holds up with the stems towards the sun, whom he addresses at some length, offering him a smoke, making requests, etc., after which he smokes the pipe. All the persons present are then permitted to put their lips to the pipe from which they are supposed to derive great benefits. The dancer also receives offerings made to the sun. A young man may fill a pipe and approach with his offerings. The dancer takes the pipe, smokes, prays, paints the man’s face, and makes the offering. A woman or child may do this; or a whole family. Formerly, a great deal of old clothing was offered at this time, a custom still practiced by the Blood. Also children’s moccasins and clothing were offered in this way. As they grew out of them they were given to the sun to promote well-being."
8,Sun god ceremony involving pulling a skewer from chest. Participant gives himself to sun god and enters special group of warriors. Sometimes this ceremony is performed if a patient has vowed to undergo it after the sun god has granted a request
9,"During times of need or mourning, warriors (or other people) sometimes cut a piece of skin from their body, or remove a digit from a finger. This ois offered to the Sun God. For example: 'George Strangling Wolf, while praying, took a needle out of his “housewife” (a soldier‘s name for a sewing kit) and inserted it into the skin near his knee. He then took an army knife and sliced off that portion of the flesh which he was holding out taut with the needle. Pointing in the direction of the sun, and still holding the small portion of bloody flesh in his hand, George offered the following prayer: Help me, Sun, to survive this terrible war, that I may meet my relatives again. With this request, I offer you my body as food'. He then dug a small hole in the ground with his finger and buried the bloody thing he was holding. Strangling Wolf was a strong adherent to the ancient beliefs of his forefathers."
10,"Ritual of Assembly involving camel sacrifice, proamulation of grave of 'grandmother'. Unclear how CPS is implicated, but Koran is read during ritual. Ethnography of this ritual refers to the Mantan tribe, it is reported that other Somali tribes also undertake it."
