model,feature,accuracy,precision,recall,f1,cohen_kappa,mcc,roc_auc,n_samples,n_missing
o3-mini,Wedding,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,O union,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,Dissolu,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,Tworldly,0.2,0.5555555555555556,0.5555555555555556,0.2,0.024390243902438935,0.1111111111111111,0.5555555555555556,10,0
o3-mini,Apotropa,0.3,,,,0.0,,,10,0
o3-mini,Oworldly,0.2,,,,0.0,,,10,0
o3-mini,Initiate,0.8,0.6666666666666666,0.8888888888888888,0.6875,0.41176470588235303,0.5091750772173156,0.8888888888888888,10,0
o3-mini,Install,0.7,,,,0.0,,,10,0
o3-mini,Divine,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,Liturgy,0.3,0.5625,0.6111111111111112,0.29292929292929293,0.05405405405405406,0.16666666666666666,0.6111111111111112,10,0
o3-mini,Ogather,0.4,0.5714285714285714,0.6666666666666666,0.375,0.09090909090909083,0.21821789023599236,0.6666666666666667,10,0
o3-mini,NewBorn,1.0,0.0,0.0,0.0,0.0,0.0,,9,1
o3-mini,Funerary,0.9,0.75,0.9444444444444444,0.803921568627451,0.6153846153846154,0.6666666666666666,0.9444444444444444,10,0
o3-mini,Commerate,0.9,,,,0.0,,,10,0
o3-mini,Protect,0.9,,,,0.0,,,10,0
o3-mini,HouseD,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,Other,0.9,,,,0.0,,,10,0
o3-mini,Duration,0.8,0.5555555555555555,0.6,0.562962962962963,0.6428571428571428,0.682288239221013,,10,0
o3-mini,Gender,0.4,0.16666666666666666,0.125,0.14285714285714285,-0.17647058823529416,-0.21004201260420147,,10,0
o3-mini,Solitary,0.8,0.6875,0.6875,0.6875,0.375,0.375,0.6875,10,0
o3-mini,Im kin,0.6,0.42857142857142855,0.3333333333333333,0.375,-0.17647058823529393,-0.21821789023599236,0.33333333333333337,10,0
o3-mini,Ex Kin,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,group<15,0.8,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.5833333333333333,0.5833333333333334,0.7916666666666667,10,0
o3-mini,group<50,0.8,0.4444444444444444,0.4444444444444444,0.4444444444444444,-0.11111111111111116,-0.1111111111111111,0.4444444444444444,10,0
o3-mini,g50-90,0.9,0.45,0.5,0.47368421052631576,0.0,0.0,,10,0
o3-mini,group>90%,0.9,0.45,0.5,0.47368421052631576,0.0,0.0,,10,0
o3-mini,Ocommuni,0.9,,,,0.0,,,10,0
o3-mini,Freq Pat,0.1,0.027777777777777776,0.16666666666666666,0.047619047619047616,0.032258064516129115,0.048488113787642693,,10,0
o3-mini,Freq Av,0.3,0.29166666666666663,0.20833333333333331,0.2361111111111111,0.10256410256410242,0.13576884666042613,,10,0
o3-mini,Dancing,0.6,0.5416666666666667,0.5625,0.5238095238095238,0.09090909090909094,0.10206207261596577,0.5625,10,0
o3-mini,Singing,0.5,0.5,0.5,0.45054945054945056,0.0,0.0,0.5,10,0
