feature,accuracy,precision,recall,f1,cohen_kappa,mcc,roc_auc,n_samples,n_missing
Wedding,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
O union,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
Dissolu,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
Tworldly,0.6,0.6,0.7777777777777778,0.5238095238095238,0.19999999999999996,0.3333333333333333,,10,0
Apotropa,0.6,,,,0.0,,,10,0
Oworldly,0.1,,,,0.0,,,10,0
Initiate,0.8,0.6666666666666666,0.8888888888888888,0.6875,0.41176470588235303,0.5091750772173156,,10,0
Install,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
Divine,0.5,,,,0.0,,,10,0
Liturgy,0.7,0.625,0.8333333333333333,0.6000000000000001,0.2857142857142857,0.408248290463863,,10,0
Ogather,0.6,0.6,0.7777777777777778,0.5238095238095238,0.19999999999999996,0.3333333333333333,,10,0
NewBorn,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
Funerary,0.9,0.45,0.5,0.47368421052631576,0.0,0.0,,10,0
Commerate,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
Protect,0.6,,,,0.0,,,10,0
HouseD,0.8,,,,0.0,,,10,0
Other,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
Duration,0.4,0.35555555555555557,0.3,0.3148148148148148,0.04761904761904756,0.050027800947380255,,10,0
Gender,0.4,0.2708333333333333,0.34375,0.25,0.07692307692307687,0.10555008273018728,,10,0
Solitary,0.8,0.4,0.5,0.4444444444444444,0.0,0.0,,10,0
Im kin,0.3,0.5625,0.6111111111111112,0.29292929292929293,0.05405405405405406,0.16666666666666666,,10,0
Ex Kin,0.7,,,,0.0,,,10,0
group<15,0.5,0.2777777777777778,0.4166666666666667,0.3333333333333333,-0.19047619047619047,-0.2721655269759087,,10,0
group<50,0.4,0.5714285714285714,0.6666666666666666,0.375,0.09090909090909083,0.21821789023599236,,10,0
g50-90,0.9,0.45,0.5,0.47368421052631576,0.0,0.0,,10,0
group>90%,0.9,0.45,0.5,0.47368421052631576,0.0,0.0,,10,0
Ocommuni,0.9,,,,0.0,,,10,0
Freq Pat,0.3,0.14285714285714285,0.21428571428571427,0.15306122448979592,0.17647058823529416,0.21179343552183938,,10,0
Freq Av,0.2,0.25,0.16666666666666666,0.19444444444444442,0.09090909090909083,0.11805626722019105,,10,0
Dancing,0.7,0.5952380952380952,0.625,0.6000000000000001,0.21052631578947367,0.2182178902359924,,10,0
Singing,0.5,0.5,0.5,0.45054945054945056,0.0,0.0,,10,0
Percuss,0.9,0.9444444444444444,0.75,0.803921568627451,0.6153846153846154,0.6666666666666666,,10,0
Oinstrum,0.8,,,,0.0,,,10,0
Shouting,1.0,1.0,1.0,1.0,1.0,1.0,,10,0
